time,HARD_TIMEOUT=15,HARD_TIMEOUT=30,HARD_TIMEOUT=60,HARD_TIMEOUT=120,HARD_TIMEOUT=240,HARD_TIMEOUT=480
1,28,24,19,19,18,13
2,15,15,15,7,7,12
3,16,16,18,18,5,6 
4,20,16,8,8,5,5 
5,15,15,17,16,14,4 
6,27,22,17,9,6,4 
7,18,18,16,7,8,6 
8,14,15,18,19,7,4 
9,20,16,16,8,16,8 
10,16,16,15,15,5,10
