time,IDLE_TIMEOUT=15,IDLE_TIMEOUT=30,IDLE_TIMEOUT=60,IDLE_TIMEOUT=120,IDLE_TIMEOUT=240,IDLE_TIMEOUT=480
1,25,18,18,15,9,10 
2,15,15,11,9,6,5  
3,16,16,9,8,6,6  
4,16,10,8,7,3,3  
5,15,15,13,4,5,4  
6,23,18,9,4,5,7  
7,18,16,12,6,4,3  
8,15,15,11,4,5,4  
9,16,10,12,4,5,6  
10,16,16,7,6,3,3 
